year,membrane,chloride_wc_0.4,chloride_wc_0.35_SF,membrane + chloride_wc_0.4,membrane with maintenance + chloride_wc_0.4,membrane + chloride_wc_0.37_SF,membrane with maintenance + chloride_wc_0.37_SF
0.0,2.1124547025028537e-06,0.0,0.0,0.0,0.0,0.0,0.0
0.5,2.1124547025028537e-06,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2.1124547025028537e-06,0.0,0.0,0.0,0.0,0.0,0.0
1.5,7.729101859204583e-06,8.23658078316408e-06,8.284719047356867e-22,6.366140947733356e-11,1.1102230246251565e-16,0.0,0.0
2.0,1.334574901590631e-05,1.647316156632816e-05,1.6569438094713735e-21,1.7358481319007524e-10,3.3306690738754696e-16,0.0,0.0
2.5,4.284689647051314e-05,0.00024014203311867826,3.386203275725625e-08,9.757101682161817e-09,1.1324274851176597e-14,1.4508394485801546e-12,0.0
3.0,7.234804392511998e-05,0.00046381090467102835,6.772406551451084e-08,2.5939107306527376e-08,2.8754776337791554e-14,3.9007685970204875e-12,0.0
3.5,0.0002046386548010004,0.001764124608267385,4.313417608934059e-06,2.920335786527062e-07,2.6267876762631204e-13,8.727337741376573e-10,7.771561172376096e-16
4.0,0.00033692926567688086,0.003064438311863742,8.559111152353608e-06,7.301475910548305e-07,6.297184995673888e-13,2.3032321605498396e-09,1.9984014443252818e-15
4.5,0.0008434136486534871,0.006425139339585703,3.7428497674643434e-05,3.5646179749049267e-06,2.761901818360002e-12,2.6652066886789783e-08,2.020605904817785e-14
5.0,0.0013498980316300933,0.009785840367307664,6.629788419693326e-05,8.101273077820714e-06,6.0776939037054944e-12,6.562279675215166e-08,4.873879078104437e-14
5.5,0.0030055430276744203,0.01535602577537235,0.0001760246791489434,2.484353829312891e-05,1.805999794157742e-11,3.954114663473618e-07,2.8477220581635265e-13
6.0,0.004661188023718747,0.020926211183437037,0.00028575147410095353,5.0810253057420596e-05,3.65294461346366e-11,9.068691453339994e-07,6.485922909860165e-13
6.5,0.009282317768608671,0.02853308849272802,0.0005695117157689031,0.00012144861864971102,8.99043062219107e-11,3.540829978776472e-06,2.6395552410463097e-12
7.0,0.013903447513498595,0.036139965802019,0.0008532719574368526,0.00022729187156089736,1.7143186870072213e-10,7.486113714039178e-06,5.6809001947044635e-12
7.5,0.024916883313212193,0.0451550636830749,0.0014428045568321635,0.00045242980814719225,3.699354156339041e-10,2.2175830844739508e-05,1.866184984322672e-11
8.0,0.03593031911292579,0.054170161564130785,0.0020323371562274745,0.0007775318895126837,6.703225752247022e-10,4.3359377409624145e-05,3.830524786252454e-11
8.5,0.05834348917334843,0.06427050890934156,0.00288037788608256,0.0013720695277876782,1.341817434941106e-09,9.284615547211494e-05,9.468503758824909e-11
9.0,0.08075665923377107,0.07437085625455235,0.0037284186159376458,0.0021983587951213135,2.3482591426926547e-09,0.00016135568264408207,1.7918733163924117e-10
9.5,0.11970595658261407,0.08505429659783541,0.005064855037861473,0.0035117347396486087,4.411743526056e-09,0.0003214455028178742,4.3731740451136147e-10
10.0,0.15865525393145707,0.09573773694111846,0.006401291459785299,0.005268798365996696,7.474168839394224e-09,0.0005337390031906475,8.204089629870737e-10
10.5,0.21645418584076534,0.10658840570876917,0.008230577941112035,0.0077700835434501014,1.333342147802341e-08,0.000930546175806235,1.8082049191292526e-09
11.0,0.2742531177500736,0.11743907447641987,0.01005986442243877,0.010994054837650147,2.1941565453431622e-08,0.0014339749954320746,3.259429393054347e-09
11.5,0.3474967041554853,0.1283965286681087,0.012186979869493372,0.015277394225482799,3.7861572543818056e-08,0.0021772472207656213,6.349897385682368e-09
12.0,0.42074029056089696,0.13935398285979753,0.014314095316547974,0.02059753807937259,6.100872651515488e-08,0.003079446695337551,1.084333256518022e-08
12.5,0.5,0.15068031105697166,0.01674982166183616,0.027355277262075428,1.0362416869025282e-07,0.004310445571050314,2.0007752898898445e-08
13.0,0.579259709439103,0.1620066392541458,0.01918554800712435,0.03543556575582385,1.6492866405926065e-07,0.005741961254190353,3.3191232318152686e-08
13.5,0.6525032958445147,0.17136520376243702,0.02235137684188064,0.04334799732937833,2.5270510650710065e-07,0.007839501100506796,6.288402243370683e-08
14.0,0.7257468822499265,0.18072376827072828,0.02551720567663693,0.05243666819720805,3.776039680936094e-07,0.010183342685727959,1.0513441595083606e-07
14.5,0.7835458141592346,0.1929811202628241,0.02859003028561726,0.06463366554008632,6.535062735402164e-07,0.012644810049503685,1.7429924115131001e-07
15.0,0.8413447460685429,0.20523847225491995,0.03166285489459759,0.07812071103422846,1.0417247593430545e-06,0.015300377375322527,2.716197207153215e-07
15.5,0.8802940434173859,0.21470433219506596,0.03483315877727686,0.08908935608374624,1.5340900541005453e-06,0.01816194401215976,4.3650738046352444e-07
16.0,0.9192433407662289,0.22417019213521197,0.03800346265995612,0.10079834141354982,2.219003923165097e-06,0.021161817811946038,6.658749285293197e-07
16.5,0.9416565108266516,0.23372798716894416,0.04150313066328834,0.11224428619313664,3.3253899852647706e-06,0.02453809739409285,1.0708943789516923e-06
17.0,0.9640696808870742,0.24328578220267635,0.04500279866662057,0.12413143353160294,4.84654584165245e-06,0.028004054941723644,1.6277365907368946e-06
17.5,0.9750831166867878,0.25300242904533315,0.04933680311388072,0.13572897860521504,7.2578971368475464e-06,0.032322248438227286,2.7027066350493456e-06
18.0,0.9860965524865014,0.26271907588798993,0.05367080756114087,0.1475502044766741,1.05338927788301e-05,0.036696101237681966,4.16305281703e-06
18.5,0.9907176822313913,0.27158435760830363,0.05755059633738082,0.15803092663636853,1.5079966659725663e-05,0.0406201246406922,6.149939634658708e-06
19.0,0.9953388119762813,0.28044963932861733,0.06143038511362077,0.16859883199589798,2.1181558873650808e-05,0.04456551888297333,8.816377247367058e-06
19.5,0.9969944569723256,0.28855697575285544,0.06593773987060181,0.17807539187338162,2.946776192191969e-05,0.04914548348272352,1.3408719630403354e-05
20.0,0.9986501019683699,0.29666431217709355,0.07044509462758283,0.18758102291849588,4.0453037778998e-05,0.05373452058368844,1.9495593958862578e-05
20.5,0.9991565863513465,0.30540092200796665,0.07455761427621987,0.19771131147470644,5.762417775145856e-05,0.057919717493750245,2.7532134298180466e-05
21.0,0.9996630707343231,0.31413753183883975,0.0786701339248569,0.2078513776981209,8.01071878562265e-05,0.06210750138289223,3.8050431042546684e-05
21.5,0.9997953613451991,0.32180109339277746,0.08366830478731829,0.21671480295996504,0.00010816290149506802,0.06719522239940112,5.611257969273531e-05
22.0,0.9999276519560749,0.3294646549467152,0.0886664756497797,0.22558052287060515,0.00014444280290759615,0.07228378219159148,7.945214355475905e-05
22.5,0.9999571531035295,0.3362383532089251,0.09262450019442939,0.23340681176846645,0.0001893151560407036,0.07631300425572074,0.00010500160986881557
